date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:52	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%2244-1675a6b7cc8%22	https://copay.io/robots.txt		(from )
15:48:53	18874/18874	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Nov%202018%2013:04:18%20GMT	https://copay.io/	./copay.io/index.html	(from )
15:48:55	32054/32054	---M--	200	added ('OK')	image/png	etag:W/%227d36-1675a6b7cc8%22	https://copay.io/images/social/avatar.png	./copay.io/images/social/avatar.png	(from https://copay.io/)
15:48:55	133463/133463	---M--	200	added ('OK')	image/jpeg	etag:W/%2220957-1675a6b7cc8%22	https://copay.io/images/social/card.jpg	./copay.io/images/social/card.jpg	(from https://copay.io/)
15:48:55	3174/3174	---M--	200	added ('OK')	image/png	etag:W/%22c66-1675a6b9050%22	https://copay.io/images/touch/chrome-touch-icon-192x192.b29eb4d4.png	./copay.io/images/touch/chrome-touch-icon-192x192.b29eb4d4.png	(from https://copay.io/)
15:48:56	2916/2916	---M--	200	added ('OK')	image/png	etag:W/%22b64-1675a6b78e0%22	https://copay.io/apple-touch-icon-precomposed.png	./copay.io/apple-touch-icon-precomposed.png	(from https://copay.io/)
15:48:57	1379/1379	---M--	200	added ('OK')	image/png	etag:W/%22563-1675a6b9050%22	https://copay.io/images/touch/ms-touch-icon-144x144-precomposed.7e0dab97.png	./copay.io/images/touch/ms-touch-icon-144x144-precomposed.7e0dab97.png	(from https://copay.io/)
15:48:59	4193/4193	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221061-1675a6b7cc8%22	https://copay.io/favicon.ico	./copay.io/favicon.ico	(from https://copay.io/)
15:49:01	204909/204909	---MCZ	200	added ('OK')	text/css	etag:W/%223206d-1675a6b9050%22	https://copay.io/styles/main.990ab075.css	./copay.io/styles/main.990ab075.css	(from https://copay.io/)
15:49:01	2024/2024	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227e8-1675a6b9050%22	https://copay.io/images/bw-icons/apple.eceea407.svg	./copay.io/images/bw-icons/apple.eceea407.svg	(from https://copay.io/)
15:49:02	4155/4155	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22103b-1675a6b9050%22	https://copay.io/images/bw-icons/google.3b431dbe.svg	./copay.io/images/bw-icons/google.3b431dbe.svg	(from https://copay.io/)
15:49:03	1377/1377	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22561-1675a6b9050%22	https://copay.io/images/bw-icons/osx.cba21736.svg	./copay.io/images/bw-icons/osx.cba21736.svg	(from https://copay.io/)
15:49:04	1330/1330	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22532-1675a6b9050%22	https://copay.io/images/bw-icons/microsoft.c26579a2.svg	./copay.io/images/bw-icons/microsoft.c26579a2.svg	(from https://copay.io/)
15:49:05	188453/188453	---M--	200	added ('OK')	image/jpeg	etag:W/%222e025-1675a6b9050%22	https://copay.io/images/banner.040042a3.jpg	./copay.io/images/banner.040042a3.jpg	(from https://copay.io/)
15:49:06	17190/17190	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224326-1675a6b9050%22	https://copay.io/images/bw-icons/linux.a032e2e1.svg	./copay.io/images/bw-icons/linux.a032e2e1.svg	(from https://copay.io/)
15:49:08	4131/4131	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221023-1675a6b9050%22	https://copay.io/images/user1.e97d71c3.svg	./copay.io/images/user1.e97d71c3.svg	(from https://copay.io/)
15:49:09	112029/112029	---M--	200	added ('OK')	image/png	etag:W/%221b59d-1675a6b9050%22	https://copay.io/images/faces-cell-complete.94485958.png	./copay.io/images/faces-cell-complete.94485958.png	(from https://copay.io/)
15:49:09	102772/102772	---M--	200	added ('OK')	image/png	etag:W/%2219174-1675a6b9050%22	https://copay.io/images/faces-cell.0674131a.png	./copay.io/images/faces-cell.0674131a.png	(from https://copay.io/)
15:49:09	4360/4360	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221108-1675a6b9050%22	https://copay.io/images/user2.b5b0bd6a.svg	./copay.io/images/user2.b5b0bd6a.svg	(from https://copay.io/)
15:49:11	4001/4001	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22fa1-1675a6b9050%22	https://copay.io/images/user3.d2c1b742.svg	./copay.io/images/user3.d2c1b742.svg	(from https://copay.io/)
15:49:11	1070/1070	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2242e-1675a6b9050%22	https://copay.io/images/user-checked.0403bb54.svg	./copay.io/images/user-checked.0403bb54.svg	(from https://copay.io/)
15:49:12	399/399	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2218f-1675a6b9050%22	https://copay.io/images/user-checked-phone.0f0d9a0f.svg	./copay.io/images/user-checked-phone.0f0d9a0f.svg	(from https://copay.io/)
15:49:14	16832/16832	---M--	200	added ('OK')	image/png	etag:W/%2241c0-1675a6b9050%22	https://copay.io/images/side-phone-screen2.9c5c6ada.png	./copay.io/images/side-phone-screen2.9c5c6ada.png	(from https://copay.io/)
15:49:17	97221/97221	---M--	200	added ('OK')	image/png	etag:W/%2217bc5-1675a6b9050%22	https://copay.io/images/blue-wallet.09e0f3f6.png	./copay.io/images/blue-wallet.09e0f3f6.png	(from https://copay.io/)
15:49:17	495848/495848	---M--	200	added ('OK')	image/png	etag:W/%22790e8-1675a6b9050%22	https://copay.io/images/multiple-wallets.93d2057d.png	./copay.io/images/multiple-wallets.93d2057d.png	(from https://copay.io/)
15:49:17	340163/340163	---M--	200	added ('OK')	image/png	etag:W/%22530c3-1675a6b9050%22	https://copay.io/images/base-phone.28f413ca.png	./copay.io/images/base-phone.28f413ca.png	(from https://copay.io/)
15:49:19	6481/6481	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202018%2020:49:18%20GMT	https://copay.io/images/universal-network.png	./copay.io/images/universal-network.html	(from https://copay.io/)
15:49:20	97328/97328	---M--	200	added ('OK')	image/png	etag:W/%2217c30-1675a6b9050%22	https://copay.io/images/purple-wallet.465e04d3.png	./copay.io/images/purple-wallet.465e04d3.png	(from https://copay.io/)
15:49:20	376646/376646	---M--	200	added ('OK')	image/png	etag:W/%225bf46-1675a6b9050%22	https://copay.io/images/dotted-map.21cb0f04.png	./copay.io/images/dotted-map.21cb0f04.png	(from https://copay.io/)
15:49:23	122080/122080	---M--	200	added ('OK')	image/png	etag:W/%221dce0-1675a6b9050%22	https://copay.io/images/secure-payment-phone.6547cda6.png	./copay.io/images/secure-payment-phone.6547cda6.png	(from https://copay.io/)
15:49:23	132864/132864	---M--	200	added ('OK')	image/png	etag:W/%2220700-1675a6b9050%22	https://copay.io/images/livenet-testnet.4e1cfe97.png	./copay.io/images/livenet-testnet.4e1cfe97.png	(from https://copay.io/)
15:49:23	129930/129930	---M--	200	added ('OK')	image/png	etag:W/%221fb8a-1675a6b9050%22	https://copay.io/images/livenet-testnet-base.994674bb.png	./copay.io/images/livenet-testnet-base.994674bb.png	(from https://copay.io/)
15:49:24	205026/205026	---M--	200	added ('OK')	image/png	etag:W/%22320e2-1675a6b9050%22	https://copay.io/images/code-trust.c76d3025.png	./copay.io/images/code-trust.c76d3025.png	(from https://copay.io/)
15:49:24	276572/276572	---M--	200	added ('OK')	image/png	etag:W/%224385c-1675a6b9050%22	https://copay.io/images/code-phone-base.7e7bc484.png	./copay.io/images/code-phone-base.7e7bc484.png	(from https://copay.io/)
